Site,DOI,Lon.,Lat.,Elev. (m),IGBP,MAT (°C),MAP (mm),Start,End,On-site RW
AU-Tum,10.18140/FLX/1440126,148.2,-35.7,1200,EBF,9.4,1350,2001,2014,FALSE
AU-Wac,10.18140/FLX/1440127,145.2,-37.4,NA,EBF,11.8,1176,2005,2008,FALSE
BE-Bra,10.18140/FLX/1440128,4.5,51.3,16,MF,10.8,841,1996,2014,TRUE
BE-Vie,10.18140/FLX/1440130,6.0,50.3,493,MF,8.3,1134,1996,2014,TRUE
CA-Gro,10.18140/FLX/1440034,-82.2,48.2,340,MF,1.7,750,2003,2014,FALSE
CA-Man,10.18140/FLX/1440035,-98.5,55.9,259,ENF,-2.7,508,1994,2008,TRUE
CA-NS1,10.18140/FLX/1440036,-98.5,55.9,260,ENF,-2.7,508,2001,2005,FALSE
CA-NS2,10.18140/FLX/1440037,-98.5,55.9,260,ENF,-2.7,509,2001,2005,FALSE
CA-NS3,10.18140/FLX/1440038,-98.4,55.9,260,ENF,-2.8,512,2001,2005,FALSE
CA-NS4,10.18140/FLX/1440039,-98.4,55.9,260,ENF,-2.8,512,2002,2005,FALSE
CA-NS5,10.18140/FLX/1440040,-98.5,55.9,260,ENF,-2.7,513,2001,2005,FALSE
CA-Oas,10.18140/FLX/1440043,-106.2,53.6,530,DBF,1.0,484,1996,2010,FALSE
CA-Obs,10.18140/FLX/1440044,-105.1,54.0,629,ENF,0.1,488,1997,2010,TRUE
CA-Qfo,10.18140/FLX/1440045,-74.3,49.7,382,ENF,0.1,962,2003,2010,FALSE
CA-SF1,10.18140/FLX/1440046,-105.8,54.5,536,ENF,0.3,504,2003,2006,FALSE
CA-SF2,10.18140/FLX/1440047,-105.9,54.3,520,ENF,0.7,499,2001,2005,FALSE
CA-TP1,10.18140/FLX/1440050,-80.6,42.7,265,ENF,8.6,1002,2002,2014,TRUE
CA-TP2,10.18140/FLX/1440051,-80.5,42.8,212,ENF,8.4,983,2002,2007,FALSE
CA-TP3,10.18140/FLX/1440052,-80.3,42.7,184,ENF,8.7,982,2002,2014,TRUE
CA-TP4,10.18140/FLX/1440053,-80.4,42.7,184,ENF,8.5,988,2002,2014,TRUE
CH-Dav,10.18140/FLX/1440132,9.9,46.8,1639,ENF,3.5,1088,1997,2014,FALSE
CH-Lae,10.18140/FLX/1440134,8.4,47.5,689,MF,9.4,1166,2004,2014,FALSE
CZ-BK1,10.18140/FLX/1440143,18.5,49.5,875,ENF,5.7,1007,2004,2014,FALSE
DE-Hai,10.18140/FLX/1440148,10.5,51.1,430,DBF,8.2,899,2000,2012,TRUE
DE-Lkb,10.18140/FLX/1440214,13.3,49.1,1308,ENF,4.9,1364,2009,2013,FALSE
DE-Lnf,10.18140/FLX/1440150,10.4,51.3,451,DBF,8.3,881,2002,2012,FALSE
DE-Obe,10.18140/FLX/1440151,13.7,50.8,734,ENF,5.9,841,2008,2014,FALSE
DE-Tha,10.18140/FLX/1440152,13.6,51.0,385,ENF,8.6,766,1996,2014,TRUE
DK-Sor,10.18140/FLX/1440155,11.6,55.5,40,DBF,8.9,648,1996,2014,TRUE
FI-Hyy,10.18140/FLX/1440158,24.3,61.8,181,ENF,3.6,679,1996,2014,TRUE
FI-Sod,10.18140/FLX/1440160,26.6,67.4,180,ENF,-0.3,536,2001,2014,FALSE
FR-Fon,10.18140/FLX/1440161,2.8,48.5,103,DBF,11.1,626,2005,2014,TRUE
FR-LBr,10.18140/FLX/1440163,-0.8,44.7,61,ENF,13.2,875,1996,2008,FALSE
FR-Pue,10.18140/FLX/1440164,3.6,43.7,270,EBF,14.1,633,2000,2014,FALSE
IT-CA1,10.18140/FLX/1440230,12.0,42.4,200,DBF,14.9,322,2011,2014,FALSE
IT-CA3,10.18140/FLX/1440232,12.0,42.4,197,DBF,14.9,322,2011,2014,FALSE
IT-Col,10.18140/FLX/1440167,13.6,41.8,1560,DBF,8.0,782,1996,2014,FALSE
IT-Cpz,10.18140/FLX/1440168,12.4,41.7,68,EBF,16.4,744,1997,2009,FALSE
IT-Lav,10.18140/FLX/1440169,11.3,46.0,1353,ENF,8.0,577,2003,2014,FALSE
IT-Ren,10.18140/FLX/1440173,11.4,46.6,1730,ENF,3.7,687,1998,2013,FALSE
IT-Ro1,10.18140/FLX/1440174,11.9,42.4,235,DBF,15.0,367,2000,2008,FALSE
IT-Ro2,10.18140/FLX/1440175,11.9,42.4,160,DBF,15.0,367,2002,2012,FALSE
IT-SRo,10.18140/FLX/1440176,10.3,43.7,6,ENF,15.3,868,1999,2012,TRUE
JP-SMF,10.18140/FLX/1440239,137.1,35.3,NA,MF,14.9,2069,2002,2006,FALSE
NL-Loo,10.18140/FLX/1440178,5.7,52.2,25,ENF,10.0,859,1996,2014,FALSE
