Site,Year,Month,NEE,QC,GPP,R,Date,Source,GPP_dtrd
BE-Bra,1996,1,1.686366611111111,0,0.23836065333333334,1.8986808,1996-01-01,FLUXNET2015,-3.3638639473034715
BE-Bra,1996,2,1.4981253888888888,0,0.746379,2.2002638,1996-02-01,FLUXNET2015,-2.8554015597896205
BE-Bra,1996,3,0.7728556111111111,0,1.9660583999999999,2.5227298,1996-03-01,FLUXNET2015,-1.635278118942446
BE-Bra,1996,4,-0.06103899722222224,0,3.815037333333333,3.3520726666666665,1996-04-01,FLUXNET2015,0.21414485523806026
BE-Bra,1996,5,-1.3353154444444444,0,6.195868,4.218876666666667,1996-05-01,FLUXNET2015,2.5954195627518994
BE-Bra,1996,6,-2.289801111111111,0,8.137798666666667,5.028867333333333,1996-06-01,FLUXNET2015,4.53779427026574
BE-Bra,1996,7,-1.9573822222222221,0,7.9865846666666664,5.263026,1996-07-01,FLUXNET2015,4.3870243111129135
BE-Bra,1996,8,-1.4715416666666667,0,6.955841333333333,4.807264,1996-08-01,FLUXNET2015,3.3567250186267517
BE-Bra,1996,9,-0.48513266666666666,0,4.926049333333333,3.9792773333333336,1996-09-01,FLUXNET2015,1.327377059473925
BE-Bra,1996,10,0.8694455555555556,0,2.878126,3.528567333333333,1996-10-01,FLUXNET2015,-0.7201022330122353
BE-Bra,1996,11,1.7486313333333334,0,1.0659876,2.7755953333333334,1996-11-01,FLUXNET2015,-2.5317965921650627
BE-Bra,1996,12,1.9025091666666667,0,0.51964228,2.3778146666666666,1996-12-01,FLUXNET2015,-3.07769787131789
BE-Bra,1997,1,1.686366611111111,0,0.23836065333333334,1.8986808,1997-01-01,FLUXNET2015,-3.3585354571373833
BE-Bra,1997,2,1.4981253888888888,0,0.746379,2.2002638,1997-02-01,FLUXNET2015,-2.8500730696235435
BE-Bra,1997,3,0.7728556111111111,0,1.9660583999999999,2.5227298,1997-03-01,FLUXNET2015,-1.6299496287763706
BE-Bra,1997,4,-0.06103899722222224,0,3.815037333333333,3.3520726666666665,1997-04-01,FLUXNET2015,0.21947334540413543
BE-Bra,1997,5,-1.3353154444444444,0,6.195868,4.218876666666667,1997-05-01,FLUXNET2015,2.6007480529179747
BE-Bra,1997,6,-2.289801111111111,0,8.137798666666667,5.028867333333333,1997-06-01,FLUXNET2015,4.543122760431815
BE-Bra,1997,7,-1.9573822222222221,0,7.9865846666666664,5.263026,1997-07-01,FLUXNET2015,4.392352801278989
BE-Bra,1997,8,-1.4715416666666667,0,6.955841333333333,4.807264,1997-08-01,FLUXNET2015,3.3620535087928265
BE-Bra,1997,9,-0.48513266666666666,0,4.926049333333333,3.9792773333333336,1997-09-01,FLUXNET2015,1.3327055496400002
BE-Bra,1997,10,0.8694455555555556,0,2.878126,3.528567333333333,1997-10-01,FLUXNET2015,-0.7147737428461602
BE-Bra,1997,11,1.7486313333333334,0,1.0659876,2.7755953333333334,1997-11-01,FLUXNET2015,-2.5264681019989874
BE-Bra,1997,12,1.9025091666666667,0,0.51964228,2.3778146666666666,1997-12-01,FLUXNET2015,-3.0723693811518147
BE-Bra,1998,1,1.686366611111111,0,0.23836065333333334,1.8986808,1998-01-01,FLUXNET2015,-3.3532069669713085
BE-Bra,1998,2,1.4981253888888888,0,0.746379,2.2002638,1998-02-01,FLUXNET2015,-2.8447445794574686
BE-Bra,1998,3,0.7728556111111111,0,1.9660583999999999,2.5227298,1998-03-01,FLUXNET2015,-1.6246211386102956
BE-Bra,1998,4,-0.06103899722222224,0,3.815037333333333,3.3520726666666665,1998-04-01,FLUXNET2015,0.2248018355702106
BE-Bra,1998,5,-1.3353154444444444,0,6.195868,4.218876666666667,1998-05-01,FLUXNET2015,2.60607654308405
BE-Bra,1998,6,-2.289801111111111,0,8.137798666666667,5.028867333333333,1998-06-01,FLUXNET2015,4.54845125059789
BE-Bra,1998,7,-1.9573822222222221,0,7.9865846666666664,5.263026,1998-07-01,FLUXNET2015,4.397681291445064
BE-Bra,1998,8,-1.4715416666666667,0,6.955841333333333,4.807264,1998-08-01,FLUXNET2015,3.367381998958902
BE-Bra,1998,9,-0.48513266666666666,0,4.926049333333333,3.9792773333333336,1998-09-01,FLUXNET2015,1.3380340398060755
BE-Bra,1998,10,0.8694455555555556,0,2.878126,3.528567333333333,1998-10-01,FLUXNET2015,-0.7094452526800851
BE-Bra,1998,11,1.7486313333333334,0,1.0659876,2.7755953333333334,1998-11-01,FLUXNET2015,-2.5211396118329126
BE-Bra,1998,12,1.9025091666666667,0,0.51964228,2.3778146666666666,1998-12-01,FLUXNET2015,-3.06704089098574
BE-Bra,1999,1,2.09719,0.347446,0.714368,2.81016,1999-01-01,FLUXNET2015,-2.8718711301385667
BE-Bra,1999,2,1.54594,0.560268,1.67367,3.20446,1999-02-01,FLUXNET2015,-1.9121250892913932
BE-Bra,1999,3,1.46843,0.399866,2.27566,3.72667,1999-03-01,FLUXNET2015,-1.3096910484442206
BE-Bra,1999,4,-0.00887615,1,3.81007,3.80662,1999-04-01,FLUXNET2015,0.22516299240295257
BE-Bra,1999,5,-1.75744,0.998656,6.71599,4.98635,1999-05-01,FLUXNET2015,3.1315270332501246
BE-Bra,1999,6,-2.39058,0.911806,7.77049,5.45792,1999-06-01,FLUXNET2015,4.186471074097299
BE-Bra,1999,7,-2.14961,0.956317,8.5722,6.41181,1999-07-01,FLUXNET2015,4.988625114944472
BE-Bra,1999,8,-1.30889,0.862231,7.1905,5.9292299999999996,1999-08-01,FLUXNET2015,3.6073691557916443
BE-Bra,1999,9,-0.131986,0.942361,4.6492000000000004,4.91071,1999-09-01,FLUXNET2015,1.0665131966388175
BE-Bra,1999,10,0.918039,1,2.59726,3.51247,1999-10-01,FLUXNET2015,-0.98498276251401
BE-Bra,1999,11,2.03739,0.99375,0.801236,2.81727,1999-11-01,FLUXNET2015,-2.7805627216668376
BE-Bra,1999,12,3.1264,0.72043,0.753185,3.67974,1999-12-01,FLUXNET2015,-2.8281696808196646
BE-Bra,2000,1,2.16521,0.994624,0.381162,2.58013,2000-01-01,FLUXNET2015,-3.199748639972491
BE-Bra,2000,2,1.68366,0.978448,0.8997,2.59355,2000-02-01,FLUXNET2015,-2.680766599125318
BE-Bra,2000,3,0.987775,0.983199,1.74197,2.7153,2000-03-01,FLUXNET2015,-1.838052558278145
BE-Bra,2000,4,0.347398,0.977083,3.1421,3.53831,2000-04-01,FLUXNET2015,-0.43747851743097227
BE-Bra,2000,5,-0.435041,0.52621,6.11601,5.80152,2000-05-01,FLUXNET2015,2.5368755234162004
BE-Bra,2000,6,-1.94984,0.977083,7.82145,5.92759,2000-06-01,FLUXNET2015,4.242759564263374
BE-Bra,2000,7,-1.66471,0.993952,6.99452,5.32653,2000-07-01,FLUXNET2015,3.416273605110546
BE-Bra,2000,8,-1.64075,0.985215,7.35478,5.65889,2000-08-01,FLUXNET2015,3.7769776459577185
BE-Bra,2000,9,0.350811,0.990278,4.71187,5.05927,2000-09-01,FLUXNET2015,1.1345116868048926
