lat,lon,SITE_ID
51.5,4.5,BE-Bra
50.5,5.5,BE-Vie
55.5,-98.5,CA-Man
53.5,-105.5,CA-Obs
42.5,-80.5,CA-TP1
42.5,-80.5,CA-TP3
42.5,-80.5,CA-TP4
51.5,10.5,DE-Hai
50.5,13.5,DE-Tha
55.5,11.5,DK-Sor
61.5,24.5,FI-Hyy
48.5,2.5,FR-Fon
43.5,10.5,IT-SRo
44.5,-71.5,US-Bar
35.5,-79.5,US-Dk2
35.5,-111.5,US-Fuf
42.5,-72.5,US-Ha1
45.5,-68.5,US-Ho1
44.5,-121.5,US-Me2
44.5,-121.5,US-Me4
39.5,-86.5,US-MMS
38.5,-92.5,US-MOz
39.5,-105.5,US-NR1
39.5,-74.5,US-Slt
29.5,-82.5,US-SP1
38.5,-121.5,US-Ton
64.5,-147.5,US-Uaf
45.5,-84.5,US-UMB
35.5,-106.5,US-Vcm
35.5,-106.5,US-Vcp
45.5,-122.5,US-Wrc
