lat,lon,SITE_ID
51.625732,5.625,BE-Bra
51.625732,5.625,BE-Vie
57.20663,-98.4375,CA-Man
54.4162,-104.0625,CA-Obs
43.254196,-81.5625,CA-TP1
43.254196,-81.5625,CA-TP3
43.254196,-81.5625,CA-TP4
51.625732,11.25,DE-Hai
51.625732,14.0625,DE-Tha
54.4162,11.25,DK-Sor
62.787354,25.3125,FI-Hyy
48.83524,2.8125,FR-Fon
43.254196,11.25,IT-SRo
43.254196,-70.3125,US-Bar
34.882523,-78.75,US-Dk2
34.882523,-112.5,US-Fuf
43.254196,-73.125,US-Ha1
46.044727,-67.5,US-Ho1
43.254196,-120.9375,US-Me2
43.254196,-120.9375,US-Me4
40.46365,-87.1875,US-MMS
37.673088,-92.8125,US-MOz
40.46365,-106.875,US-NR1
40.46365,-75.9375,US-Slt
29.30136,-81.5625,US-SP1
37.673088,-120.9375,US-Ton
65.57761,-149.0625,US-Uaf
46.044727,-84.375,US-UMB
34.882523,-106.875,US-Vcm
34.882523,-106.875,US-Vcp
46.044727,-120.9375,US-Wrc
