lat,lon,SITE_ID
51.361256,5.0,BE-Bra
50.41885,6.25,BE-Vie
56.0733,-98.75,CA-Man
54.18848,-105.0,CA-Obs
42.87958,-80.0,CA-TP1
42.87958,-80.0,CA-TP3
42.87958,-80.0,CA-TP4
51.361256,10.0,DE-Hai
51.361256,13.75,DE-Tha
55.13089,11.25,DK-Sor
61.72775,23.75,FI-Hyy
48.53403,2.5,FR-Fon
43.82199,10.0,IT-SRo
43.82199,-71.25,US-Bar
36.282722,-78.75,US-Dk2
35.340313,-111.25,US-Fuf
42.87958,-72.5,US-Ha1
44.764397,-68.75,US-Ho1
44.764397,-121.25,US-Me2
44.764397,-121.25,US-Me4
39.109947,-86.25,US-MMS
39.109947,-92.5,US-MOz
40.052357,-105.0,US-NR1
40.052357,-75.0,US-Slt
29.685863,-82.5,US-SP1
38.167538,-121.25,US-Ton
64.55498,-147.5,US-Uaf
45.706806,-85.0,US-UMB
36.282722,-106.25,US-Vcm
36.282722,-106.25,US-Vcp
45.706806,-122.5,US-Wrc
