lat,lon,SITE_ID
51.25,4.25,BE-Bra
50.25,5.75,BE-Vie
55.75,-98.75,CA-Man
54.25,-105.25,CA-Obs
42.75,-80.75,CA-TP1
42.75,-80.25,CA-TP3
42.75,-80.25,CA-TP4
51.25,10.25,DE-Hai
51.25,13.75,DE-Tha
55.75,11.75,DK-Sor
61.75,24.25,FI-Hyy
48.75,2.75,FR-Fon
43.75,10.25,IT-SRo
44.25,-71.25,US-Bar
36.25,-79.25,US-Dk2
35.25,-111.75,US-Fuf
42.75,-72.25,US-Ha1
45.25,-68.75,US-Ho1
44.75,-121.75,US-Me2
44.75,-121.75,US-Me4
39.25,-86.25,US-MMS
38.75,-92.25,US-MOz
40.25,-105.75,US-NR1
39.75,-74.75,US-Slt
29.75,-82.25,US-SP1
38.25,-121.25,US-Ton
64.75,-147.75,US-Uaf
45.75,-84.75,US-UMB
35.75,-106.75,US-Vcm
35.75,-106.75,US-Vcp
45.75,-122.25,US-Wrc
